question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,d,b,d,d,c
5,d,d,d,d,d
6,b,b,b,b,c
7,d,a,d,d,d
8,d,d,d,d,d
9,a,"c, d","a, c, d","a, d","a, c, d"
10,b,b,b,a,a
11,b,b,b,b,a
12,d,d,c,c,d
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
14,"a, b, c","a, b, c","a, b, c, d","a, b, c, d","a, b, c"
15,a,a,a,a,a
16,b,b,b,c,b
17,a,a,a,a,a
18,c,c,c,c,c
19,"b, d","b, d","b, d","b, d","b, d"
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
21,a,a,a,a,a
22,d,d,a,d,b
23,a,a,a,a,a
24,a,a,a,a,a
25,c,c,c,d,d
26,b,b,b,b,b
27,b,b,b,b,b
28,a,a,a,a,a
29,d,d,d,a,a
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,a,b,b,a,b
35,b,a,a,a,a
36,d,d,d,d,d
37,a,a,c,b,a
38,a,a,a,a,a
39,a,c,a,a,a
40,c,c,c,c,c
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,c,b,a,b,b
47,a,b,c,b,a
48,a,a,a,a,a
49,d,d,d,d,d
