question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,a,b,c,a,a
2,"a, b","a, b","a, b","a, b","a, b"
3,b,d,b,b,b
4,c,c,c,c,c
5,d,d,d,d,d
6,a,a,a,a,a
7,b,d,a,a,b
8,d,a,a,a,d
9,"a, b","a, b","a, c, d","a, b, d","a, b"
10,b,b,b,b,b
11,b,b,b,b,a
12,d,d,d,d,d
13,"b, c","a, b, c","a, b, c","a, b, c","a, b, c"
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d"
15,a,d,c,d,a
16,a,b,a,a,a
17,a,c,a,a,a
18,a,a,a,a,a
19,"b, d","b, d","b, d","b, d","b, d"
20,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c"
21,c,c,a,a,a
22,c,c,c,c,c
23,a,a,a,b,a
24,a,a,a,a,a
25,a,c,c,a,d
26,b,b,b,b,b
27,b,b,b,b,b
28,a,a,a,a,a
29,c,d,c,d,d
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,a,a,a,b,a
35,b,a,,a,a
36,b,b,a,a,a
37,b,b,b,b,b
38,b,b,a,a,a
39,a,a,a,a,a
40,d,a,d,b,d
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,a,d
46,b,b,c,c,b
47,a,b,b,a,a
48,c,c,a,c,c
49,d,d,d,d,d
