question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,b,b
5,d,d,d,d,d
6,a,a,a,a,a
7,d,d,d,d,b
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,a,a,a,a,a
11,b,a,a,a,a
12,d,d,d,d,d
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
14,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
15,a,a,a,a,a
16,c,c,c,c,c
17,a,a,a,a,a
18,a,a,a,a,a
19,"a, c","b, c","b, d","a, c","a, c"
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
21,c,c,c,c,c
22,c,c,c,c,c
23,a,a,d,c,a
24,a,"a, c",a,a,a
25,a,a,b,a,b
26,b,c,c,c,c
27,b,b,b,b,"b, c"
28,"a, d",a,a,a,"a, d"
29,c,d,d,c,d
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,c,c,c,c,c
35,a,d,a,a,d
36,d,d,d,d,d
37,b,b,b,b,b
38,b,b,b,b,b
39,d,c,c,d,c
40,d,d,d,d,b
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,b,d,d,b,c
47,b,b,b,b,b
48,a,a,a,a,a
49,d,d,d,d,d
