question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,b,b
5,d,d,d,d,d
6,a,a,a,a,a
7,a,a,d,d,a
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,a,a,a,a,a
11,a,a,b,a,a
12,d,d,d,d,d
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d"
15,a,a,a,a,a
16,c,c,b,c,c
17,a,a,a,a,a
18,a,a,a,a,a
19,"a, c","a, c","b, d","a, c","a, c"
20,"a, b, c, d","a, b, c","a, c, d","a, b, c","a, b, c, d"
21,c,c,c,c,c
22,c,c,c,c,c
23,a,a,a,b,a
24,"a, b, c, d, c, a, b, c, d, c, a, b, c, d, c","a, b, c, d, a, b, c, d, c, c",c,"a, b, c, d",c
25,b,b,a,a,c
26,d,d,d,d,d
27,b,b,b,b,b
28,a,a,,a,a
29,c,c,c,c,c
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,c,c,c,c,c
35,a,c,b,a,a
36,d,d,d,d,d
37,b,b,b,b,b
38,b,b,b,b,b
39,c,"a, b, c, d",c,c,c
40,d,d,d,d,d
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,d,d,d,d,d
47,b,b,b,b,b
48,a,a,a,a,a
49,d,d,d,d,d
