question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,a,b
2,"a, b","a, b","a, b","a, b","a, b"
3,b,b,b,d,d
4,c,c,b,c,b
5,d,d,d,d,d
6,a,a,c,b,b
7,a,b,a,a,c
8,d,a,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,d,b,a,a,c
11,b,b,b,b,b
12,d,d,d,d,d
13,"a, b, c","a, b, c",b,"a, b, c","a, b, c"
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d"
15,c,a,c,c,a
16,d,d,d,a,a
17,a,c,c,c,a
18,a,a,d,d,d
19,"a, d","b, d","a, d",a,"b, c"
20,"a, c","a, b, c","a, b, c","a, b, c","a, c"
21,c,c,a,c,c
22,c,c,c,c,c
23,d,c,a,d,c
24,c,a,"b, c, d","c, d",c
25,d,b,c,c,d
26,b,b,b,b,b
27,b,b,b,b,b
28,a,a,"a, d",a,a
29,d,d,c,d,c
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,c,c,b,c,a
35,a,a,d,b,c
36,d,d,a,c,d
37,b,a,a,b,a
38,d,a,d,d,a
39,d,b,c,c,c
40,d,c,c,d,c
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,d,b,d,d,d
47,a,a,c,c,c
48,b,c,c,c,a
49,d,d,d,d,d
