question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,b,b
5,d,d,d,d,d
6,a,a,a,a,a
7,b,a,b,b,a
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,b,a,b,a,b
11,b,b,b,b,b
12,d,d,d,d,c
13,a,a,a,a,a
14,a,"a, b, c, d",a,"a, b, c, d","a, b, c"
15,b,a,b,b,b
16,a,a,a,b,a
17,a,a,a,a,a
18,a,a,a,a,a
19,"a, c","a, c","a, c","a, c","a, c"
20,"a, c, d","a, c, d","a, b, c, d","a, c, d","a, c, d"
21,c,c,c,c,c
22,c,c,c,c,c
23,a,c,c,a,c
24,a,a,a,a,a
25,a,d,a,a,d
26,c,c,c,c,c
27,b,b,b,b,b
28,a,a,a,a,a
29,c,c,c,c,c
30,b,b,b,b,b
31,a,a,,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,c,c,c,c,c
35,a,a,a,a,a
36,d,d,d,d,d
37,b,b,b,b,b
38,b,b,b,b,b
39,d,a,a,a,d
40,d,d,d,d,d
41,,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,d,c,d,c,c
47,b,b,b,b,b
48,c,c,c,c,c
49,d,d,d,d,d
