question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,b,b
5,d,d,d,d,d
6,a,a,a,a,a
7,c,d,d,c,d
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,d,a,a,a,a
11,a,b,a,a,b
12,d,d,d,d,d
13,"a, c","a, c","a, b, c","a, c","a, c"
14,"a, b, c","a, b, c","a, b, c, d","a, b, c","a, b, c"
15,a,a,a,a,a
16,c,c,c,c,c
17,a,a,a,a,d
18,a,a,a,a,a
19,"b, d","b, d","b, d","b, c","b, d"
20,"a, b, c","a, b, c","a, b, c","a, b, c, d","a, b, c"
21,c,c,c,c,c
22,c,c,c,c,c
23,a,d,c,a,c
24,b,"a, b, c, d","a, b, c, d",a,a
25,a,a,a,a,a
26,c,b,b,b,b
27,b,b,b,b,b
28,a,a,a,a,a
29,d,d,c,d,c
30,a,b,a,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,a,c,c,c,a
34,c,c,c,c,c
35,a,d,a,a,a
36,d,d,d,d,d
37,b,b,b,b,b
38,b,b,b,b,b
39,c,d,c,c,d
40,c,d,"a, b, c, d",d,d
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,c,b,b,b,a
47,b,b,b,b,b
48,a,a,a,a,a
49,d,d,d,d,d
