question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,d,d,c,c,b
5,d,d,d,d,d
6,b,c,b,b,b
7,d,d,d,d,d
8,d,d,d,d,d
9,"a, d","a, c, d","a, c, d","a, c","a, c, d"
10,b,b,a,a,b
11,b,b,b,b,b
12,d,c,c,d,d
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
14,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c"
15,a,a,a,a,a
16,c,b,b,c,b
17,a,b,a,b,a
18,c,c,c,c,c
19,"b, d","b, d","b, d","b, d","b, d"
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
21,a,a,a,a,a
22,d,b,d,d,d
23,a,d,a,a,c
24,a,a,a,a,a
25,c,c,c,c,c
26,b,b,b,b,b
27,b,b,b,b,b
28,a,a,a,a,a
29,a,d,a,c,d
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,b,a,b,b,b
35,a,a,a,a,a
36,d,a,d,d,d
37,a,a,a,b,a
38,a,a,a,a,a
39,a,a,c,a,a
40,c,c,c,c,c
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,b,b,b,b,b
47,b,b,c,b,c
48,b,a,b,c,a
49,d,d,d,d,d
