question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,b,b,b,b,b
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,b,b
5,d,d,d,d,d
6,a,a,a,a,a
7,c,b,"a, b, c, d, d, d, d, a, d, a, a, d, b, c, a, a, a",d,d
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,b,a,b,a,a
11,b,a,b,b,b
12,d,d,d,d,d
13,"a, c","a, c",a,a,"a, c"
14,"a, b, c",a,"a, c",a,a
15,a,a,a,a,a
16,b,d,b,b,b
17,c,a,a,a,d
18,a,a,a,a,a
19,c,"c, d",c,"b, d",c
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c"
21,c,c,c,c,c
22,c,c,c,c,c
23,c,a,b,a,c
24,c,a,c,c,a
25,d,b,c,d,c
26,b,c,b,d,d
27,b,b,b,b,b
28,a,a,a,a,a
29,d,d,d,c,d
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,b,d,b,b,b
34,c,c,c,c,c
35,d,b,,a,b
36,d,d,d,d,d
37,b,b,b,b,b
38,b,b,b,b,b
39,c,c,c,c,c
40,c,d,d,"t, t, t, t, d, d, a, b, c, d, c",d
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,b,d,b,d,b
47,b,a,b,a,a
48,a,b,a,a,a
49,d,d,d,d,d
