question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5
1,a,b,a,a,a
2,"a, b","a, b","a, b","a, b","a, b"
3,d,d,d,d,d
4,b,b,b,c,b
5,d,d,d,d,d
6,a,a,a,a,a
7,c,d,a,c,c
8,d,d,d,d,d
9,"a, b","a, b","a, b","a, b","a, b"
10,a,b,c,a,b
11,b,b,b,b,b
12,d,d,d,d,d
13,"a, b, c","a, b, c","a, b","a, b, c","a, b, c"
14,"a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d","a, b, c, d"
15,c,c,a,a,c
16,b,b,b,a,b
17,a,a,a,a,a
18,a,a,a,a,a
19,"a, d",d,"b, c","b, d","b, d"
20,"a, b, c, d","a, b, c, d","a, b, c","a, b, c, d","a, b, c, d"
21,a,c,a,a,a
22,a,a,a,b,b
23,a,a,b,a,c
24,b,a,c,a,a
25,c,a,d,a,b
26,c,c,c,b,b
27,b,b,b,b,b
28,a,a,a,a,a
29,d,c,c,c,c
30,b,b,b,b,b
31,a,a,a,a,a
32,c,c,c,c,c
33,c,c,c,c,c
34,b,a,b,b,a
35,b,b,c,a,b
36,c,c,c,c,d
37,b,b,c,b,b
38,b,d,b,a,b
39,c,d,a,a,d
40,d,d,d,c,d
41,d,d,d,d,d
42,d,d,d,d,d
43,a,a,a,a,a
44,a,a,a,a,a
45,d,d,d,d,d
46,b,c,b,b,b
47,a,a,b,c,d
48,b,c,c,a,a
49,d,d,d,d,d
